elconstrainCfd
10712  0 1 0 0
10707  1 0 0 0
10706  0 1 0 0
10578  1 0 0 0
10580  0 1 0 0
10587  1 0 0 0
10586  0 1 0 0
10566  1 0 0 0
10568  0 1 0 0
10563  1 0 0 0
10562  0 1 0 0 
 9974  1 0 0 0
 9976  0 1 0 0
 9983  1 0 0 0
 9982  0 1 0 0
 9962  1 0 0 0
 9964  0 1 0 0
 9959  1 0 0 0
 9958  0 1 0 0
end elconstrainCfd
edgeCfd
12477  1 0 0 0 0 0 0 0 0 0 0 0
12479  0 0 0 1 0 0 0 0 0 0 0 0
12486  1 0 0 0 0 0 0 0 0 0 0 0  
12485  0 0 0 1 0 0 0 0 0 0 0 0  
12465  1 0 0 0 0 0 0 0 0 0 0 0
12467  0 0 0 1 0 0 0 0 0 0 0 0
12462  1 0 0 0 0 0 0 0 0 0 0 0   
12461  0 0 0 1 0 0 0 0 0 0 0 0   
12269  1 0 0 0 0 0 0 0 0 0 0 0   
12271  0 0 0 1 0 0 0 0 0 0 0 0   
12278  1 0 0 0 0 0 0 0 0 0 0 0   
12277  0 0 0 1 0 0 0 0 0 0 0 0   
12305  1 0 0 0 0 0 0 0 0 0 0 0   
12307  0 0 0 1 0 0 0 0 0 0 0 0   
12302  1 0 0 0 0 0 0 0 0 0 0 0   
12301  0 0 0 1 0 0 0 0 0 0 0 0   
12202  1 0 0 0 0 0 0 0 0 0 0 0   
12204  0 0 0 1 0 0 0 0 0 0 0 0   
12211  1 0 0 0 0 0 0 0 0 0 0 0   
12210  0 0 0 1 0 0 0 0 0 0 0 0   
12238  1 0 0 0 0 0 0 0 0 0 0 0   
12240  0 0 0 1 0 0 0 0 0 0 0 0   
12235  1 0 0 0 0 0 0 0 0 0 0 0   
12234  0 0 0 1 0 0 0 0 0 0 0 0   
12017  1 0 0 0 0 0 0 0 0 0 0 0   
12019  0 0 0 1 0 0 0 0 0 0 0 0   
12026  1 0 0 0 0 0 0 0 0 0 0 0   
12025  0 0 0 1 0 0 0 0 0 0 0 0   
12005  1 0 0 0 0 0 0 0 0 0 0 0   
12007  0 0 0 1 0 0 0 0 0 0 0 0   
12002  1 0 0 0 0 0 0 0 0 0 0 0   
12001  0 0 0 1 0 0 0 0 0 0 0 0   
11889  1 0 0 0 0 0 0 0 0 0 0 0   
11891  0 0 0 1 0 0 0 0 0 0 0 0
11898  1 0 0 0 0 0 0 0 0 0 0 0   
11897  0 0 0 1 0 0 0 0 0 0 0 0   
11877  1 0 0 0 0 0 0 0 0 0 0 0   
11879  0 0 0 1 0 0 0 0 0 0 0 0   
11874  1 0 0 0 0 0 0 0 0 0 0 0   
11873  0 0 0 1 0 0 0 0 0 0 0 0   
11672  1 0 0 0 0 0 0 0 0 0 0 0   
11674  0 0 0 1 0 0 0 0 0 0 0 0   
11681  1 0 0 0 0 0 0 0 0 0 0 0   
11680  0 0 0 1 0 0 0 0 0 0 0 0   
11660  1 0 0 0 0 0 0 0 0 0 0 0   
11662  0 0 0 1 0 0 0 0 0 0 0 0   
11657  1 0 0 0 0 0 0 0 0 0 0 0   
11656  0 0 0 1 0 0 0 0 0 0 0 0   
11608  1 0 0 0 0 0 0 0 0 0 0 0
11610  0 0 0 1 0 0 0 0 0 0 0 0
11617  1 0 0 0 0 0 0 0 0 0 0 0
11616  0 0 0 1 0 0 0 0 0 0 0 0
11596  1 0 0 0 0 0 0 0 0 0 0 0
11598  0 0 0 1 0 0 0 0 0 0 0 0
11593  1 0 0 0 0 0 0 0 0 0 0 0
11592  0 0 0 1 0 0 0 0 0 0 0 0
11544  1 0 0 0 0 0 0 0 0 0 0 0
11546  0 0 0 1 0 0 0 0 0 0 0 0
11553  1 0 0 0 0 0 0 0 0 0 0 0
11552  0 0 0 1 0 0 0 0 0 0 0 0
11532  1 0 0 0 0 0 0 0 0 0 0 0
11534  0 0 0 1 0 0 0 0 0 0 0 0
11529  1 0 0 0 0 0 0 0 0 0 0 0
11528  0 0 0 1 0 0 0 0 0 0 0 0 
11480  1 0 0 0 0 0 0 0 0 0 0 0 
11482  0 0 0 1 0 0 0 0 0 0 0 0 
11489  1 0 0 0 0 0 0 0 0 0 0 0 
11488  0 0 0 1 0 0 0 0 0 0 0 0 
11468  1 0 0 0 0 0 0 0 0 0 0 0 
11470  0 0 0 1 0 0 0 0 0 0 0 0 
11465  1 0 0 0 0 0 0 0 0 0 0 0 
11464  0 0 0 1 0 0 0 0 0 0 0 0 
10102  1 0 0 0 0 0 0 0 0 0 0 0 
10104  0 0 0 1 0 0 0 0 0 0 0 0 
10111  1 0 0 0 0 0 0 0 0 0 0 0 
10110  0 0 0 1 0 0 0 0 0 0 0 0 
10090  1 0 0 0 0 0 0 0 0 0 0 0 
10092  0 0 0 1 0 0 0 0 0 0 0 0 
10087  1 0 0 0 0 0 0 0 0 0 0 0 
10086  0 0 0 1 0 0 0 0 0 0 0 0 
11288  1 0 0 0 0 0 0 0 0 0 0 0 
11290  0 0 0 1 0 0 0 0 0 0 0 0 
11297  1 0 0 0 0 0 0 0 0 0 0 0 
11296  0 0 0 1 0 0 0 0 0 0 0 0 
11276  1 0 0 0 0 0 0 0 0 0 0 0 
11278  0 0 0 1 0 0 0 0 0 0 0 0 
11273  1 0 0 0 0 0 0 0 0 0 0 0 
11272  0 0 0 1 0 0 0 0 0 0 0 0 
11128  1 0 0 0 0 0 0 0 0 0 0 0 
11130  0 0 0 1 0 0 0 0 0 0 0 0 
11137  1 0 0 0 0 0 0 0 0 0 0 0 
11136  0 0 0 1 0 0 0 0 0 0 0 0 
11164  1 0 0 0 0 0 0 0 0 0 0 0
11166  0 0 0 1 0 0 0 0 0 0 0 0
11161  1 0 0 0 0 0 0 0 0 0 0 0
11160  0 0 0 1 0 0 0 0 0 0 0 0
11000  1 0 0 0 0 0 0 0 0 0 0 0
11002  0 0 0 1 0 0 0 0 0 0 0 0  
11009  1 0 0 0 0 0 0 0 0 0 0 0  
11008  0 0 0 1 0 0 0 0 0 0 0 0  
11036  1 0 0 0 0 0 0 0 0 0 0 0  
11038  0 0 0 1 0 0 0 0 0 0 0 0  
11033  1 0 0 0 0 0 0 0 0 0 0 0  
11032  0 0 0 1 0 0 0 0 0 0 0 0  
10872  1 0 0 0 0 0 0 0 0 0 0 0  
10874  0 0 0 1 0 0 0 0 0 0 0 0  
10881  1 0 0 0 0 0 0 0 0 0 0 0  
10880  0 0 0 1 0 0 0 0 0 0 0 0  
10908  1 0 0 0 0 0 0 0 0 0 0 0  
10910  0 0 0 1 0 0 0 0 0 0 0 0  
10905  1 0 0 0 0 0 0 0 0 0 0 0  
10904  0 0 0 1 0 0 0 0 0 0 0 0  
10265  1 0 0 0 0 0 0 0 0 0 0 0  
10267  0 0 0 1 0 0 0 0 0 0 0 0  
10274  1 0 0 0 0 0 0 0 0 0 0 0  
10273  0 0 0 1 0 0 0 0 0 0 0 0  
10301  1 0 0 0 0 0 0 0 0 0 0 0  
10303  0 0 0 1 0 0 0 0 0 0 0 0  
10298  1 0 0 0 0 0 0 0 0 0 0 0  
10297  0 0 0 1 0 0 0 0 0 0 0 0  
10744  1 0 0 0 0 0 0 0 0 0 0 0  
10746  0 0 0 1 0 0 0 0 0 0 0 0  
10753  1 0 0 0 0 0 0 0 0 0 0 0  
10752  0 0 0 1 0 0 0 0 0 0 0 0  
10780  1 0 0 0 0 0 0 0 0 0 0 0  
10782  0 0 0 1 0 0 0 0 0 0 0 0  
10777  1 0 0 0 0 0 0 0 0 0 0 0  
10776  0 0 0 1 0 0 0 0 0 0 0 0  
10418  1 0 0 0 0 0 0 0 0 0 0 0  
10420  0 0 0 1 0 0 0 0 0 0 0 0  
10427  1 0 0 0 0 0 0 0 0 0 0 0  
10426  0 0 0 1 0 0 0 0 0 0 0 0  
10454  1 0 0 0 0 0 0 0 0 0 0 0  
10456  0 0 0 1 0 0 0 0 0 0 0 0  
10451  1 0 0 0 0 0 0 0 0 0 0 0  
10450  0 0 0 1 0 0 0 0 0 0 0 0  
10674  1 0 0 0 0 0 0 0 0 0 0 0  
10676  0 0 0 1 0 0 0 0 0 0 0 0  
10683  1 0 0 0 0 0 0 0 0 0 0 0  
10682  0 0 0 1 0 0 0 0 0 0 0 0  
10710  1 0 0 0 0 0 0 0 0 0 0 0  
10712  0 0 0 1 0 0 0 0 0 0 0 0  
10707  1 0 0 0 0 0 0 0 0 0 0 0  
10706  0 0 0 1 0 0 0 0 0 0 0 0  
10578  1 0 0 0 0 0 0 0 0 0 0 0  
10580  0 0 0 1 0 0 0 0 0 0 0 0  
10587  1 0 0 0 0 0 0 0 0 0 0 0  
10586  0 0 0 1 0 0 0 0 0 0 0 0  
10566  1 0 0 0 0 0 0 0 0 0 0 0  
10568  0 0 0 1 0 0 0 0 0 0 0 0  
10563  1 0 0 0 0 0 0 0 0 0 0 0  
10562  0 0 0 1 0 0 0 0 0 0 0 0  
 9974  1 0 0 0 0 0 0 0 0 0 0 0  
 9976  0 0 0 1 0 0 0 0 0 0 0 0  
 9983  1 0 0 0 0 0 0 0 0 0 0 0  
 9982  0 0 0 1 0 0 0 0 0 0 0 0  
 9962  1 0 0 0 0 0 0 0 0 0 0 0  
 9964  0 0 0 1 0 0 0 0 0 0 0 0 
 9959  1 0 0 0 0 0 0 0 0 0 0 0  
 9958  0 0 0 1 0 0 0 0 0 0 0 0
end edgeCfd
return
